"V","PE"
40.77,480.48
58.49,445.75
56.9,438.76
49.69,453.09
40.66,464.43
39.16,470.96
71.29,442.35
41.76,464
69.51,428.77
38.18,484.31
68.67,435.29
46.93,451.41
70.04,426.25
37.49,480.66
44.6,460.17
64.15,453.13
43.56,461.71
44.63,471.08
40.46,473.74
41.1,448.56
52.05,464.82
64.96,427.28
68.31,441.76
41.04,474.71
40.71,467.21
35.57,487.69
62.44,438.67
41.39,485.66
58.66,452.16
67.45,429.87
41.23,468.82
56.85,442.85
36.08,483.26
67.45,433.59
71.29,433.04
52.75,458.6
70.79,435.14
75.6,443.2
39.61,477.9
60.29,445.26
68.67,435.57
66.91,447.42
44.71,462.28
65.34,441.81
65.46,454.16
63.73,437.24
39.63,464.11
48.6,440.89
41.66,485.2
67.69,445.34
70.32,440
67.45,431.35
44.06,456.32
72.39,432.98
69.13,429.41
39.63,464.95
42.28,481.91
69.23,437.15
40.12,462.6
74.9,432.43
61.02,442.22
65.34,441.03
41.2,468.91
70.8,432.46
68.3,430.07
74.99,437.78
40.78,483.12
41.76,462.19
50.88,457.71
59.54,438.32
66.49,434.35
68.14,427.05
68.61,448.69
41.06,475.88
41.46,479.28
48.92,446.85
66.25,434.99
69.75,441.5
66.75,433.26
77.17,430.46
50.88,455.14
73.91,431.26
61.5,437.76
43.96,464.63
38.62,462.58
42.07,483.27
72.99,438.51
77.17,431.03
43.65,484
69.98,431.64
54.5,451.78
59.39,439.46
43.02,467.23
41.67,459.81
58.05,447.15
64.44,442
52.08,449.61
40.78,481.28
71.32,437.54
39.96,475.52
58.2,458.68
61.02,436.76
61.9,446.08
38.91,474.35
41.44,481.96
41.46,479.66
77.24,435.28
71.06,434.86
70.02,435.72
56.53,454.14
46.97,455.76
74.87,442.83
63.94,449.47
58.79,445.76
37.14,473.57
49.3,435.75
70.32,437.96
60.84,438.59
59.39,444.21
44.9,459.47
43.67,465.54
40.78,458.85
71.25,435.68
47.43,449.2
58.41,445.43
45.09,453.96
43.79,463.93
49.83,465.82
44.84,471.6
69.84,427.72
35.71,468.54
69.34,434.08
61.27,454.57
41.06,489.79
39.64,481.78
67.71,443.57
43.72,457.9
41.01,472.16
66.54,451.19
40.46,470.33
40.27,486.68
40.75,472.68
61.87,445.72
43.5,466.58
57.19,436.99
39.96,470.87
42.74,457.77
51.95,448.15
41.26,476.03
51.43,442.87
39.64,477.93
44.6,459.06
44.9,456.18
41.04,473.62
43.52,473.64
52.05,463.64
43.67,462.44
47.01,454.39
46.48,452.06
66.86,453.31
40.64,466.93
49.3,436.37
52.75,458.87
43.02,470.67
40.35,475.54
77.95,432.72
56.9,441.41
37.5,472.9
40.79,457.83
44.06,462.05
50.78,445.3
50.05,435.94
41.16,472.71
43.7,464.5
59.21,449.77
70.36,435.04
40.55,472.47
44.78,459.31
70.17,434.62
66.48,435.34
73.21,430.64
59.87,447.16
35.76,471.72
39.82,470.41
48.04,468.37
40.96,483.59
73.42,432.74
73.17,438.11
42.28,484.75
58.82,445.01
60.84,445.82
68.28,452.47
40.92,459.76
62.4,445.3
39.37,486.9
56.53,454.89
60.27,441.19
59.21,440.5
69.51,435.04
37.5,472.16
62.66,442.16
50.05,442.49
39.72,456.55
76.86,431.03
41.67,471.42
43.71,463.34
71.58,433.97
39.37,487
41.14,480.19
38.38,479.56
40.35,470.03
74.33,429.57
38.5,489.26
69.23,435.62
58.86,443.84
36.99,463.76
65.71,447.26
69.84,430.3
41.5,475.01
63.94,445.11
48.78,450.35
60.07,446.14
70.47,439.04
59.14,438.46
43.96,468.57
41.54,461.55
39.52,468.02
63.86,447.18
52.84,444.69
40.46,474.1
71.94,428.27
68.14,425.18
44.78,460.6
67.25,436.21
44.03,476.25
41.23,461.08
41.48,460.3
68.94,435.04
43.72,453.86
42.28,484.78
74.78,440.48
51.3,452.17
69.45,434.47
70.8,436.8
42.44,459.76
44.92,468.85
41.04,468.81
58.95,454.29
71.29,442.8
65.27,445.52
65.27,447.43
75.6,437.31
38.38,477.03
39.53,456.57
58.95,440.03
45.09,466.24
61.86,440.21
41.26,475.17
44.9,466.95
40.12,457.81
71.06,433.34
44.71,485.19
59.15,450.96
62.91,446.05
51.19,449.23
40.69,469.31
41.74,479.01
67.83,432.46
39.16,458.59
49.3,440.13
66.05,442.9
70.94,432.43
56.65,455.07
69.98,431.99
75.08,439.22
77.17,433.14
37.8,483.95
68.24,427.94
47.93,435.61
39.85,478.29
52.36,453.08
39.13,463.14
40.72,480.96
40.92,460.38
73.67,437.19
45.87,478.02
43.99,456.07
67.25,434.01
39.61,476.99
74.87,435.31
70.4,432.85
56.53,453.8
64.96,431.33
79.74,431.69
74.33,435.66
38.44,488.05
70.04,429.13
48.79,464.09
44.9,465.61
40.77,479.23
37.5,472.32
41.38,487.57
45.01,449.08
36.3,477.38
37.14,474.16
49.21,454.25
71.98,429.85
40.73,462.98
71.97,434.04
40.56,470.84
35.57,488.65
41.38,473.94
73.03,437.42
40.66,457.12
41.04,457.49
47.93,443.41
58.46,445.27
59.92,436.74
39.37,487.33
71.32,434.43
68.12,437.14
54.2,439.96
62.7,442.58
69.94,436.88
44.89,441.94
71.97,438.62
39.1,470.55
49.3,441.76
45.09,450.88
39.82,482.89
49.25,454.41
43.65,479.15
45.09,458.67
65.12,446.91
44.45,466.52
61.47,444.16
39.85,489.09
43.99,475.01
45,471.43
62.1,455.24
44.57,445.49
69.05,430.56
40.8,471.78
64.84,443.15
40.46,475
38.91,474.22
44.05,445.71
40.27,491.29
64.27,437.87
45.09,467.44
71.32,437.14
56.9,448.24
44.05,447.2
41.4,478.12
42.34,465.44
49.02,445.65
67.69,437.4
43.77,455.66
59.04,445.83
63.09,449.36
65.18,436.26
59.8,452.99
67.69,431.72
41.44,481.83
79.74,433.08
52.3,446.87
46.18,463.03
65.34,440.77
70.94,430.91
60.84,445.93
71.25,430.34
41.26,462.46
43.52,460.08
58.05,441.76
64.63,449.66
75.33,436.38
49.83,452.07
43.96,467.35
41.26,473.87
43.5,460.7
39.66,479.53
44.06,467.46
59.21,440.27
64.15,454.32
61.47,442.48
74.34,435.76
64.05,439.56
43.56,467
42.34,462.6
42.02,472.16
58.49,448.46
68.08,434.11
44.57,449.74
70.32,439.29
43.8,473.2
68.12,437.62
39.33,491.49
40.07,495.23
60.93,442.75
39.3,480.74
44.06,461.38
40.22,461.74
40.43,489.54
41.01,477.61
38.58,461.49
42.02,474.93
48.92,447.89
40.81,481.02
41.5,470.68
65.48,440.92
41.1,453.38
41.79,458.68
69.14,433.82
41.82,473.72
38.56,482.37
61.9,443.39
63.78,449.93
65.48,443.31
50.32,443.63
59.15,438.9
47.45,446.72
63.31,449.68
41.58,461.54
60.08,451.97
70.02,444.53
45.87,479.61
58.86,453.76
71.94,430.28
65.94,442.39
37.5,474.57
43.02,466.33
70.32,433.72
41.16,460.44
69.04,445.04
79.74,432.85
77.3,439.37
40,457.09
40.35,488.8
74.9,433.63
57.19,445.1
72.99,433.01
45.01,453.45
42.18,454.46
52.75,473.09
68.67,441.53
38.91,479.15
69.4,438.18
62.44,443.3
63.09,447.45
40.24,469.25
41.06,476.67
49.39,460.01
66.56,432.3
53.16,454.01
72.99,436.64
66.05,450.23
40.73,458.55
40.72,481.08
41.16,460.57
39.58,478.24
72.99,431.83
40.56,469.33
74.33,428.62
78.05,434.12
57.17,442.77
41.2,467.42
46,447.8
69.84,436.19
70.94,441.56
43.56,463.33
39.39,470.53
63.91,447.28
63.56,450.7
73.56,432.78
44.89,451.09
70.47,438.23
42.18,457.07
60.37,438.44
43.41,473.43
65.18,437.39
46.21,450.86
74.33,435.12
39.96,477.05
67.17,432.6
73.56,432.43
43.02,486.46
43.67,468.14
70.32,429.08
74.87,443.7
39.64,477.65
79.74,433.84
61.86,442.65
45.87,478.44
68.61,447.18
65.46,446.26
36.18,472.67
53.82,461.6
50.05,443.71
66.54,430.16
60.77,447.85
69.71,441.25
74.93,448.47
41.48,473.31
54.3,460.54
39.04,482.31
65.61,447.67
72.99,434.45
42.23,464.87
58.79,446.33
68.12,439
36.99,466.24
69.34,445.92
41.44,472.06
60.77,439.13
41.66,485.58
70.94,431.84
44.06,456.57
39.61,483.83
40.72,483.14
67.83,429.31
64.79,443.87
41.4,476.9
46.18,464.58
61.02,445.56
68.24,428.08
62.26,434.97
43.67,475.72
75.6,431.18
39.39,469.79
75.23,444
39.18,467.97
40.12,451.79
44.58,475.5
41.96,467.1
54.9,454.23
36.25,483.77
59.54,438.5
44.47,465.24
72.39,431.69
43.71,469.15
40.83,472.14
60.23,437.44
41.55,477.27
66.56,439.31
41.74,479.32
75.6,445.84
44.57,449.76
59.92,444.96
44.2,457.15
73.67,429.28
71.73,431.66
41.39,477.8
70.98,440.86
39.64,465.29
43.8,467
51.61,452
44.9,448.51
39.42,474.72
38.5,482.39
36.25,478.45
44.84,466.88
43.02,485.61
44.71,487.71
36.08,483.26
40.22,476.69
58.2,450.4
67.48,439.39
70.94,439.13
71.58,434.01
39.35,472.43
69.75,435.7
63.31,441.5
78.05,434.14
65.59,450.3
45.09,464.27
40.46,470.99
41.38,481.41
41.17,490.23
41.62,457.64
51.43,437.35
40.27,474.03
73.67,428.72
41.38,478.29
46.21,454.06
67.69,425.35
71.94,430.46
73.03,435.75
64.45,452.82
39.72,475.04
42.07,464.07
45.87,455.86
61.27,448.77
69.98,429.86
44.57,447.03
78.92,434.91
65.46,443.81
70.4,430.15
40.33,460.09
62.39,452.8
70.8,432.19
58.9,442.19
51.43,439.01
75.33,432.92
51.95,449.45
40.1,468.74
64.33,441.79
44.71,474.6
49.39,454.53
39.18,470.38
66.51,456.49
66.05,440.15
72.24,435.94
41.66,481.89
50.9,454.09
40.64,484.42
59.43,440.61
58.16,456.97
43.65,481.92
56.9,437.55
68.14,428.87
64.44,445.89
49.5,457.81
40.62,485.18
48.41,440.94
46.97,456.77
37.5,472.2
58.16,455.16
49.21,454.2
60.07,452.84
44.92,471.43
77.17,430.32
59.57,443.85
58.49,449.16
77.3,434.68
47.83,463.67
44.78,462.44
39.31,460.59
62.4,444.69
48.14,463.68
54.2,448.11
70.32,433.71
60.95,447.86
42.85,478.98
40.64,479.13
56.9,439.51
39.61,478.34
71.14,458.8
57.32,440.1
44.58,460.2
39.96,475.23
42.8,459.84
67.22,444.78
39.9,489.8
42.24,465.35
66.56,434.74
67.17,431.73
43.21,436.53
44.47,469.25
70.47,434.45
60.32,447.73
69.48,435.23
69.82,437.46
57.19,440.8
75.6,439.25
74.33,426.53
57.76,458.41
46.18,466.03
37.14,474.74
39.35,479.83
57.76,456.4
49.15,455.32
64.63,449.34
51.95,449.54
70.83,444.39
40.71,475.87
39.64,483.43
53.16,458.93
68.24,430.9
63.21,446.4
54.3,462.63
72.39,434.53
58.59,454.62
59.43,442.84
67.83,425.28
65.46,451.86
77.95,431.72
41.26,476.42
53.82,467.08
40.24,469.35
40.92,466.77
43.02,487.17
41.14,481.37
58.95,450.02
41.35,466.85
65.06,440.92
70.4,434.64
63.91,442.5
68.08,443.93
63.78,440.26
39.3,473.67
41.1,466.45
69.48,432.18
45.87,463.5
70.47,434.24
71.98,432.88
64.15,452.26
73.17,438.64
52.84,450.23
41.22,483.31
39.72,485.1
39.64,470.84
57.76,450.25
72.29,432.52
43.41,465.6
73.18,429.92
43.67,474.27
40.23,472.7
73.42,435.46
67.45,436.47
64.45,443.75
72.99,430.81
67.71,444.98
68.67,435.53
50.59,463.35
44.57,450.48
68.61,447.83
39.64,467.22
71.94,438.69
45.01,452.75
40.56,486.4
67.9,441.22
62.91,449.1
46.48,452
44.03,473.54
65.18,440.07
44.78,468.29
48.92,458.67
42.99,468.87
63.94,438.73
42.44,472.28
43.71,469.06
45.87,453.79
50.59,460.64
45.87,462.67
63.21,444.34
72.24,437.67
71.94,427.2
44.03,474.68
64.79,438.41
42.86,471.17
68.28,446.98
39.4,483.04
73.42,432.26
37.87,464.02
41.01,468.37
46.97,459.87
60.95,455.53
70.47,435.88
39.33,490.76
67.07,442.45
40.56,475.86
34.69,477.51
70.36,439.16
58.62,445.51
48.78,449.11
41.14,474.51
46.48,462.55
38.44,490.78
66.54,438.08
42.34,462.21
67.17,440.75
59.21,437.72
41.54,476.12
42.24,469.13
63.78,446.58
58.46,444.05
58.16,455.5
37.92,472.04
73.42,435.93
72.43,432.49
59.87,441.2
65.12,447.84
44.89,442.13
76.2,435.31
60.1,454.25
43.48,464.33
61.25,441.77
41.58,464.81
60.07,439.73
71.8,435.4
60.29,443.77
62.66,440.27
39.99,482.31
43.69,483.62
74.16,431.16
71.98,428.24
58.12,453.28
