"PLAYER","TEAM"
"A'JA WILSON","LVA"
"AERIAL POWERS","WAS"
"ALAINA COATES","ATL"
"ALANA BEARD","LAS"
"ALANNA SMITH","PHO"
"ALEX BENTLEY","ATL"
"ALEXIS JONES","LAS"
"ALLIE QUIGLEY","CHI"
"ALLISHA GRAY","DAL"
"ALYSHA CLARK","SEA"
"ALYSSA THOMAS","CON"
"AMANDA ZAHUI B","NYL"
"ANGEL MCCOUGHTRY","ATL"
"ANRIEL HOWARD","SEA"
"ARICA CARTER","PHO"
"ARIEL ATKINS","WAS"
"ARIKE OGUNBOWALE","DAL"
"ASHLEY WALKER","LAS"
"ASIA DURR","NYL"
"ASIA TAYLOR","PHO"
"ASTOU NDOUR","CHI"
"AVERY WARLEY-TALBERT","NYL"
"AZURÁ STEVENS","DAL"
"BETNIJAH LANEY","IND"
"BLAKE DIETRICK","SEA"
"BRIA HARTLEY","NYL"
"BRIA HOLMES","CON"
"BRIANN JANUARY","PHO"
"BRIANNA TURNER","PHO"
"BRIDGET CARLETON","MIN"
"BRIONNA JONES","CON"
"BRITTANY BOYD","NYL"
"BRITTNEY GRINER","PHO"
"BRITTNEY SYKES","ATL"
"BROOKE MCCARTY-WILLIAMS","DAL"
"CAMILLE LITTLE","PHO"
"CANDACE PARKER","LAS"
"CANDICE DUPREE","IND"
"CAROLYN SWORDS","LVA"
"CHELSEA GRAY","LAS"
"CHEYENNE PARKER","CHI"
"CHINEY OGWUMIKE","LAS"
"CHLOE JACKSON","CHI"
"COURTNEY PARIS","SEA"
"COURTNEY VANDERSLOOT","CHI"
"COURTNEY WILLIAMS","CON"
"CRYSTAL LANGHORNE","SEA"
"DAMIRIS DANTAS","MIN"
"DANIELLE ROBINSON","MIN"
"DEARICA HAMBY","LVA"
"DEWANNA BONNER","PHO"
"DIAMOND DESHIELDS","CHI"
"DIANA TAURASI","PHO"
"ELENA DELLE DONNE","WAS"
"ELIZABETH WILLIAMS","ATL"
"EMMA MEESSEMAN","WAS"
"EPIPHANNY PRINCE","LVA"
"ERICA MCCALL","IND"
"ERICA WHEELER","IND"
"ESSENCE CARSON","PHO"
"GABBY WILLIAMS","CHI"
"GLORY JOHNSON","DAL"
"HALEY PETERS","ATL"
"HAN XU","NYL"
"IMANI MCGEE-STAFFORD","DAL"
"ISABELLE HARRISON","DAL"
"JACKIE YOUNG","LVA"
"JAIME NARED","LVA"
"JAMIERRA FAULKNER","CHI"
"JANTEL LAVENDER","CHI"
"JASMINE THOMAS","CON"
"JESSICA BRELAND","ATL"
"JESSICA SHEPARD","MIN"
"JEWELL LOYD","SEA"
"JILLIAN ALLEYNE","MIN"
"JISU PARK","LVA"
"JONQUEL JONES","CON"
"JORDIN CANADA","SEA"
"KAELA DAVIS","DAL"
"KAHLEAH COPPER","CHI"
"KALANI BROWN","LAS"
"KALEENA MOSQUEDA-LEWIS","SEA"
"KARIMA CHRISTMAS-KELLY","MIN"
"KARLIE SAMUELSON","DAL"
"KATIE LOU SAMUELSON","CHI"
"KAYLA ALEXANDER","CHI"
