artist,album,genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Streetlight+Manifesto,Everything Goes Numb,ska,A Moment of Violence,0.609,0.918,-5.998,0.0894,0.0087,0,0.294,0.541,89.975
Adele,25,pop,Water Under the Bridge,0.596,0.838,-6.52,0.0704,0.0189,1.54E-05,0.108,0.479,94.982
Pink Floyd,The Dark Side of the Moon,classic rock,Speak to Me,0.592,0.0196,-33.35,0.0358,0.362,0.854,0.108,0.0322,119.504
Childish+Gambino,"""Awaken, My Love!""",hip hop,Baby Boy,0.529,0.403,-7.103,0.0349,0.123,0.496,0.0647,0.723,199.928
Ed+Sheeran,÷ (Deluxe),pop,Nancy Mulligan,0.68,0.852,-4.35,0.0349,0.117,0,0.0866,0.852,101.993
Kendrick+Lamar,To Pimp A Butterfly,hip hop,You Ain't Gotta Lie (Momma Said),0.501,0.646,-5.422,0.231,0.482,1.43E-05,0.274,0.648,94.746
Streetlight+Manifesto,Everything Goes Numb,ska,"Failing, Flailing",0.648,0.896,-5.546,0.0825,0.0426,2.15E-06,0.0675,0.794,137.804
Eagles,Hotel California (Remastered),classic rock,New Kid In Town - Remastered,0.649,0.425,-9.811,0.0267,0.378,0.0013,0.108,0.651,107.383
Fleetwood+Mac,Rumours (Deluxe),classic rock,Oh Daddy - Live,0.38,0.484,-10.59,0.0455,0.395,0.0112,0.687,0.165,127.679
Doomtree,No Kings,hip hop,Gimme The Go,0.612,0.738,-6.738,0.303,0.055,0,0.125,0.564,125.756
Eagles,Hotel California (Remastered),classic rock,The Last Resort - Remastered,0.549,0.28,-10.692,0.0311,0.474,0.0612,0.16,0.299,125.83
Dessa,Chime,hip hop,Jumprope,0.73,0.497,-9.047,0.0515,0.00871,4.20E-05,0.156,0.232,155.954
Adele,25,pop,I Miss You,0.381,0.581,-4.273,0.0481,0.00936,1.43E-05,0.455,0.155,113.218
Dessa,Chime,hip hop,Ride,0.503,0.436,-9.372,0.0477,0.0146,0.000706,0.779,0.129,80.001
Dessa,Chime,hip hop,Fire Drills,0.566,0.714,-7.616,0.145,0.0452,0.000289,0.0633,0.367,93.836
Streetlight+Manifesto,Everything Goes Numb,ska,The Big Sleep,0.54,0.903,-6.817,0.111,0.00431,0,0.105,0.578,147.981
Less+Than+Jake,Hello Rockview,ska,Five State Drive,0.444,0.98,-4.25,0.0774,0.000555,1.99E-06,0.104,0.671,117.986
Adele,25,pop,River Lea,0.293,0.586,-5.63,0.0342,0.0579,3.68E-06,0.123,0.227,81.723
Childish+Gambino,"""Awaken, My Love!""",hip hop,Me and Your Mama,0.557,0.461,-11.796,0.0342,0.00952,0.0405,0.0708,0.291,117.999
Less+Than+Jake,Hello Rockview,ska,Help Save The Youth Of America From Exploding,0.448,0.947,-4.781,0.113,0.00322,0,0.185,0.729,140.043
Taylor+Swift,1989,pop,How You Get The Girl,0.614,0.659,-6.092,0.0717,0.00421,0.0077,0.0796,0.472,119.931
Taylor+Swift,1989,pop,Wildest Dreams,0.556,0.688,-7.328,0.0856,0.0612,0.00256,0.112,0.459,140.011
Childish+Gambino,"""Awaken, My Love!""",hip hop,The Night Me and Your Mama Met,0.579,0.124,-14.588,0.0302,0.969,0.0912,0.0609,0.118,134.021
Taylor+Swift,1989,pop,Clean,0.806,0.385,-7.797,0.0353,0.243,0,0.111,0.224,103.982
Adele,25,pop,When We Were Young,0.381,0.594,-5.97,0.0486,0.348,0,0.0925,0.275,143.86
Pink Floyd,The Dark Side of the Moon,classic rock,Eclipse,0.359,0.579,-10.765,0.0406,0.0591,0.746,0.0686,0.136,68.102
No+Doubt,Tragic Kingdom,ska,The Climb,0.551,0.709,-6.066,0.0257,0.0952,5.27E-06,0.111,0.359,97.183
